t,h,dx,dy,X,Y,FPS
5.4234,74.00,0.00,0.00,0.00,0.00,44
5.4384,74.00,0.00,0.00,0.00,0.00,46
5.4671,74.00,0.00,0.00,0.00,0.00,45
5.4826,74.00,0.00,0.00,0.00,0.00,47
5.5270,74.00,0.00,0.00,0.00,0.00,44
5.5431,74.00,0.00,0.00,0.00,0.00,46
5.5723,74.00,0.00,0.00,0.00,0.00,45
5.5873,74.00,0.00,0.00,0.00,0.00,47
5.7334,74.00,0.00,0.00,0.00,0.00,43
5.7560,74.00,0.00,0.00,0.00,0.00,43
5.7725,74.00,0.00,0.00,0.00,0.00,45
5.7914,74.00,0.00,0.00,0.00,0.00,45
5.8240,74.00,0.00,0.00,0.00,0.00,44
5.8603,74.00,0.00,0.00,0.00,0.00,42
5.8769,74.00,0.00,0.00,0.00,0.00,44
5.8996,74.00,0.00,0.00,0.00,0.00,44
5.9241,74.00,0.00,0.00,0.00,0.00,44
5.9799,74.00,0.00,0.00,0.00,0.00,41
6.0060,74.00,0.00,0.00,0.00,0.00,41
6.0296,74.00,0.00,0.00,0.00,0.00,41
6.0451,74.00,0.00,0.00,0.00,0.00,43
6.0618,74.00,0.00,0.00,0.00,0.00,45
6.1366,74.00,0.00,0.00,0.00,0.00,42
6.1522,74.00,0.00,0.00,0.00,0.00,44
6.1687,74.00,0.00,0.00,0.00,0.00,45
6.2187,74.00,0.00,0.00,0.00,0.00,43
6.2348,74.00,0.00,0.00,0.00,0.00,45
6.2530,74.00,0.00,0.00,0.00,0.00,46
6.2849,74.00,0.00,0.00,0.00,0.00,44
6.3004,74.00,0.00,0.00,0.00,0.00,46
6.3304,74.00,0.00,0.00,0.00,0.00,45
6.3480,74.00,0.00,0.00,0.00,0.00,46
6.3813,74.00,0.00,0.00,0.00,0.00,44
6.3969,74.00,0.00,0.00,0.00,0.00,46
6.4300,74.00,0.00,0.00,0.00,0.00,45
6.4471,74.00,0.00,0.00,0.00,0.00,46
6.4791,74.00,0.00,0.00,0.00,0.00,44
6.4970,74.00,0.00,0.00,0.00,0.00,46
6.5296,74.00,0.00,0.00,0.00,0.00,44
6.5616,74.00,0.00,0.00,0.00,0.00,43
6.5926,74.00,0.00,0.00,0.00,0.00,42
6.6079,74.00,0.00,0.00,0.00,0.00,44
6.6382,74.00,0.00,0.00,0.00,0.00,43
6.6535,74.00,0.00,0.00,0.00,0.00,45
6.6855,74.00,0.00,0.00,0.00,0.00,44
6.7184,74.00,0.00,0.00,0.00,0.00,42
6.7522,74.00,0.00,0.00,0.00,0.00,41
6.7702,74.00,0.00,0.00,0.00,0.00,42
6.8154,74.00,0.00,0.00,0.00,0.00,40
6.8352,74.00,0.00,0.00,0.00,0.00,41
6.8503,74.00,0.00,0.00,0.00,0.00,44
6.8800,74.00,0.00,0.00,0.00,0.00,43
6.8992,74.00,0.00,0.00,0.00,0.00,44
6.9344,74.00,0.00,0.00,0.00,0.00,42
6.9524,74.00,0.00,0.00,0.00,0.00,43
6.9863,74.00,0.00,0.00,0.00,0.00,42
7.0027,74.00,0.00,0.00,0.00,0.00,44
7.0330,74.00,0.00,0.00,0.00,0.00,43
7.0491,74.00,0.00,0.00,0.00,0.00,44
7.0799,74.00,0.00,0.00,0.00,0.00,43
7.1098,74.00,0.00,0.00,0.00,0.00,42
7.1424,74.00,0.00,0.00,0.00,0.00,41
7.1575,74.00,0.00,0.00,0.00,0.00,43
7.1891,74.00,0.00,0.00,0.00,0.00,42
7.2062,74.00,0.00,0.00,0.00,0.00,44
7.2360,74.00,0.00,0.00,0.00,0.00,43
7.2515,74.00,0.00,0.00,0.00,0.00,45
7.2952,74.00,0.00,0.00,0.00,0.00,43
7.3102,74.00,0.00,0.00,0.00,0.00,45
7.3400,74.00,0.00,0.00,0.00,0.00,44
7.3556,74.00,0.00,0.00,0.00,0.00,46
7.3870,74.00,0.00,0.00,0.00,0.00,44
7.4168,74.00,0.00,0.00,0.00,0.00,43
7.4592,74.00,0.00,0.00,0.00,0.00,41
7.4762,74.00,0.00,0.00,0.00,0.00,43
7.4919,74.00,0.00,0.00,0.00,0.00,45
7.5153,74.00,0.00,0.00,0.00,0.00,45
7.5459,74.00,0.00,0.00,0.00,0.00,43
7.5778,74.00,0.00,0.00,0.00,0.00,42
7.5954,74.00,0.00,0.00,0.00,0.00,44
7.6284,74.00,0.00,0.00,0.00,0.00,42
7.6444,74.00,0.00,0.00,0.00,0.00,44
7.6851,74.00,0.00,0.00,0.00,0.00,42
7.7110,74.00,0.00,0.00,0.00,0.00,42
