t,h,dx,dy,X,Y,FPS
4.7517,77.00,0.00,0.00,0.00,0.00,46
4.7947,77.00,0.00,0.00,0.00,0.00,46
4.8058,77.00,0.00,0.00,0.00,0.00,46
4.8205,77.00,0.00,0.00,0.00,0.00,47
4.8340,77.00,0.00,0.00,0.00,0.00,47
4.8525,77.00,0.00,0.00,0.00,0.00,47
4.9022,77.00,0.00,0.00,0.00,0.00,47
4.9135,77.00,0.00,0.00,0.00,0.00,47
4.9269,77.00,0.00,0.00,0.00,0.00,47
4.9427,77.00,0.00,0.00,0.00,0.00,47
4.9614,77.00,0.00,0.00,0.00,0.00,48
5.0057,77.00,0.00,0.00,0.00,0.00,47
5.0203,77.00,0.00,0.00,0.00,0.00,47
5.0353,77.00,0.00,0.00,0.00,0.00,48
5.0545,77.00,0.00,0.00,0.00,0.00,48
5.0673,77.00,0.00,0.00,0.00,0.00,48
5.1121,77.00,0.00,0.00,0.00,0.00,48
5.1270,77.00,0.00,0.00,0.00,0.00,48
5.1444,77.00,0.00,0.00,0.00,0.00,48
5.1816,77.00,0.00,0.00,0.00,0.00,48
5.2141,77.00,0.00,0.00,0.00,0.00,48
5.2214,77.00,0.00,0.00,0.00,0.00,49
5.2388,77.00,0.00,0.00,0.00,0.00,49
5.2542,77.00,0.00,0.00,0.00,0.00,49
5.2638,77.00,0.00,0.00,0.00,0.00,49
5.2816,77.00,0.00,0.00,0.00,0.00,49
5.3278,77.00,0.00,0.00,0.00,0.00,49
5.3455,77.00,0.00,0.00,0.00,0.00,49
5.3564,77.00,0.00,0.00,0.00,0.00,50
5.3741,77.00,0.00,0.00,0.00,0.00,50
5.3912,77.00,0.00,0.00,0.00,0.00,50
5.4374,77.00,0.00,0.00,0.00,0.00,49
5.4526,77.00,0.00,0.00,0.00,0.00,50
5.4670,77.00,0.00,0.00,0.00,0.00,50
5.4817,77.00,0.00,0.00,0.00,0.00,50
5.4979,77.00,0.00,0.00,0.00,0.00,50
5.5115,77.00,0.00,0.00,0.00,0.00,50
5.5579,77.00,0.00,0.00,0.00,0.00,50
5.5718,77.00,0.00,0.00,0.00,0.00,50
5.5897,77.00,0.00,0.00,0.00,0.00,50
5.6040,77.00,0.00,0.00,0.00,0.00,50
5.6215,77.00,0.00,0.00,0.00,0.00,51
5.6651,77.00,0.00,0.00,0.00,0.00,50
5.6823,77.00,0.00,0.00,0.00,0.00,50
5.7004,77.00,0.00,0.00,0.00,0.00,50
5.7115,77.00,0.00,0.00,0.00,0.00,51
5.7282,77.00,0.00,0.00,0.00,0.00,51
5.7759,77.00,0.00,0.00,0.00,0.00,51
5.7907,77.00,0.00,0.00,0.00,0.00,51
5.8021,77.00,0.00,0.00,0.00,0.00,51
5.8198,77.00,0.00,0.00,0.00,0.00,51
5.8393,77.00,0.00,0.00,0.00,0.00,51
